mundial,num,fecha,etapa,local,goles_local,goles_visitante,visitante,url_partido,url,fecha_scraping
2026,15,15-Jun-2026,"1ra Ronda, Grupo G",Bélgica,,,Egipto,,https://www.losmundialesdefutbol.com/mundiales/2026_resultados.php,2026-03-16T22:25:26.660767
2026,16,15-Jun-2026,"1ra Ronda, Grupo G",Irán,,,Nueva Zelanda,,https://www.losmundialesdefutbol.com/mundiales/2026_resultados.php,2026-03-16T22:25:26.660767
2026,17,16-Jun-2026,"1ra Ronda, Grupo I",Francia,,,Senegal,,https://www.losmundialesdefutbol.com/mundiales/2026_resultados.php,2026-03-16T22:25:26.660767
2026,18,16-Jun-2026,"1ra Ronda, Grupo I",Noruega,,,,,https://www.losmundialesdefutbol.com/mundiales/2026_resultados.php,2026-03-16T22:25:26.660767
2026,19,16-Jun-2026,"1ra Ronda, Grupo J",Argentina,,,Argelia,,https://www.losmundialesdefutbol.com/mundiales/2026_resultados.php,2026-03-16T22:25:26.660767
2026,20,16-Jun-2026,"1ra Ronda, Grupo J",Austria,,,Jordania,,https://www.losmundialesdefutbol.com/mundiales/2026_resultados.php,2026-03-16T22:25:26.660767
2026,21,17-Jun-2026,"1ra Ronda, Grupo L",Inglaterra,,,Croacia,,https://www.losmundialesdefutbol.com/mundiales/2026_resultados.php,2026-03-16T22:25:26.660767
2026,22,17-Jun-2026,"1ra Ronda, Grupo L",Ghana,,,Panamá,,https://www.losmundialesdefutbol.com/mundiales/2026_resultados.php,2026-03-16T22:25:26.660767
2026,23,17-Jun-2026,"1ra Ronda, Grupo K",Portugal,,,,,https://www.losmundialesdefutbol.com/mundiales/2026_resultados.php,2026-03-16T22:25:26.660767
2026,24,17-Jun-2026,"1ra Ronda, Grupo K",Uzbekistán,,,Colombia,,https://www.losmundialesdefutbol.com/mundiales/2026_resultados.php,2026-03-16T22:25:26.660767
2026,25,18-Jun-2026,"1ra Ronda, Grupo A",Sudáfrica,,,,,https://www.losmundialesdefutbol.com/mundiales/2026_resultados.php,2026-03-16T22:25:26.660767
