id_mundial,grupo,id_seleccion,posicion,pj,pg,pe,pp,gf,gc,dif,pts,clasificado
20,D,49,4,3,0,1,2,2,4,-2,1,0
20,E,40,1,3,2,1,0,8,2,6,7,1
20,E,82,2,3,2,0,1,7,6,1,6,1
20,E,31,3,3,1,1,1,3,3,0,4,0
20,E,45,4,3,0,0,3,1,8,-7,0,0
20,F,7,1,3,3,0,0,6,3,3,9,1
20,F,63,2,3,1,1,1,3,3,0,4,1
20,F,11,3,3,1,0,2,4,4,0,3,0
20,F,53,4,3,0,1,2,1,4,-3,1,0
20,G,1,1,3,2,1,0,7,2,5,7,1
20,G,39,2,3,1,1,1,4,4,0,4,1
20,G,71,3,3,1,1,1,4,7,-3,4,0
20,G,42,4,3,0,1,2,4,6,-2,1,0
20,H,14,1,3,3,0,0,4,1,3,9,1
20,H,6,2,3,1,1,1,6,5,1,4,1
20,H,76,3,3,0,2,1,2,3,-1,2,0
20,H,24,4,3,0,1,2,3,6,-3,1,0
21,A,89,1,3,3,0,0,5,0,5,9,1
21,A,76,2,3,2,0,1,8,4,4,6,1
21,A,5,3,3,1,0,2,2,7,-5,3,0
21,A,32,4,3,0,0,3,2,6,-4,0,0
21,B,38,1,3,1,2,0,6,5,1,5,1
21,B,71,2,3,1,2,0,5,4,1,5,1
21,B,53,3,3,1,1,1,2,2,0,4,0
21,B,61,4,3,0,1,2,2,4,-2,1,0
21,C,40,1,3,2,1,0,3,1,2,7,1
21,C,30,2,3,1,2,0,2,1,1,5,1
21,C,69,3,3,1,0,2,2,2,0,3,0
21,C,8,4,3,0,1,2,2,5,-3,1,0
21,D,27,1,3,3,0,0,7,1,6,9,1
21,D,7,2,3,1,1,1,3,5,-2,4,1
21,D,63,3,3,1,0,2,3,4,-1,3,0
21,D,54,4,3,0,1,2,2,5,-3,1,0
21,E,12,1,3,2,1,0,5,1,4,7,1
21,E,82,2,3,1,2,0,5,4,1,5,1
21,E,78,3,3,1,0,2,2,4,-2,3,0
21,E,25,4,3,0,1,2,2,5,-3,1,0
21,F,81,1,3,2,0,1,5,2,3,6,1
21,F,62,2,3,2,0,1,3,4,-1,6,1
21,F,24,3,3,1,0,2,3,3,0,3,0
21,F,1,4,3,1,0,2,2,4,-2,3,0
21,G,14,1,3,3,0,0,9,2,7,9,1
21,G,49,2,3,2,0,1,8,3,5,6,1
21,G,86,3,3,1,0,2,5,8,-3,3,0
21,G,67,4,3,0,0,3,2,11,-9,0,0
21,H,22,1,3,2,0,1,5,2,3,6,1
21,H,58,2,3,1,1,1,4,4,0,4,1
21,H,77,3,3,1,1,1,4,4,0,4,0
21,H,70,4,3,1,0,2,2,5,-3,3,0
