id_jugador,source_url,nombre,nombre_completo,fecha_nacimiento,lugar_nacimiento,posicion,id_seleccion_actual,altura_cm,apodo,total_mundiales,total_partidos,total_goles,promedio_gol
5126,https://www.losmundialesdefutbol.com/jugadores/aaron_lawrence.php,Aaron Lawrence,,11 de agosto de 1970,,Arquero,57,,,1,1,0,0
5127,https://www.losmundialesdefutbol.com/jugadores/dennis_lawrence.php,Dennis Lawrence,,1 de agosto de 1974,,Defensor,84,200,,1,3,0,0
5128,https://www.losmundialesdefutbol.com/jugadores/diego_laxalt.php,Diego Laxalt,Diego Sebastián Laxalt Suárez,7 de febrero de 1993,,Mediocampista,89,177,,1,4,0,0
5129,https://www.losmundialesdefutbol.com/jugadores/miguel_layun.php,Miguel Layún,Miguel Arturo Layún Prado,25 de junio de 1988,,Defensor,62,176,,2,8,0,0
5130,https://www.losmundialesdefutbol.com/jugadores/gyula_lazar.php,Gyula Lazar,,24 de enero de 1911,,Mediocampista,46,,,2,5,0,0
5131,https://www.losmundialesdefutbol.com/jugadores/stan_lazaridis.php,Stan Lazaridis,,16 de agosto de 1972,,Mediocampista,8,175,,1,0,0,0
5132,https://www.losmundialesdefutbol.com/jugadores/danko_lazovic.php,Danko Lazovic,,17 de mayo de 1983,,Delantero,78,185,,1,3,0,0
5133,https://www.losmundialesdefutbol.com/jugadores/darko_lazovic.php,Darko Lazovic,,15 de septiembre de 1990,,Mediocampista,78,181,,1,1,0,0
5134,https://www.losmundialesdefutbol.com/jugadores/yvon_le_roux.php,Yvon Le Roux,,19 de abril de 1960,,Defensor,40,,,1,1,0,0
5135,https://www.losmundialesdefutbol.com/jugadores/graeme_le_saux.php,Graeme Le Saux,,17 de octubre de 1968,,Defensor,49,,,1,4,0,0
5136,https://www.losmundialesdefutbol.com/jugadores/eugenio_leal.php,Eugenio Leal,,13 de mayo de 1953,,Mediocampista,38,,,1,3,0,0
5137,https://www.losmundialesdefutbol.com/jugadores/fritz_leandre.php,Fritz Leandre,,13 de marzo de 1948,,Delantero,44,,,1,1,0,0
5138,https://www.losmundialesdefutbol.com/jugadores/joseph_marion_leandre.php,Joseph-Marion Leandre,,9 de mayo de 1945,,Defensor,44,,,1,1,0,0
5139,https://www.losmundialesdefutbol.com/jugadores/leandro.php,Leandro,,17 de marzo de 1959,,Defensor,12,,,1,5,0,0
5140,https://www.losmundialesdefutbol.com/jugadores/leao.php,Leao,,11 de julio de 1949,,Arquero,12,,,4,14,0,0
5141,https://www.losmundialesdefutbol.com/jugadores/michel_leblond.php,Michel Leblond,,10 de mayo de 1932,,Mediocampista,40,,,1,0,0,0
5142,https://www.losmundialesdefutbol.com/jugadores/lebo_lebo.php,Lebo Lebo,,29 de mayo de 1977,,Defensor,4,187,,1,0,0,0
5143,https://www.losmundialesdefutbol.com/jugadores/frank_leboeuf.php,Frank Leboeuf,,22 de enero de 1968,,Defensor,40,183,,2,5,0,0
5144,https://www.losmundialesdefutbol.com/jugadores/simon_lecue.php,Simon Lecue,,11 de febrero de 1912,,Mediocampista,38,,,1,2,0,0
5145,https://www.losmundialesdefutbol.com/jugadores/francois_ledent.php,Francois Ledent,,8 de noviembre de 1907,,Delantero,14,,,1,0,0,0
5146,https://www.losmundialesdefutbol.com/jugadores/igor_lediakhov.php,Igor Lediakhov,,22 de mayo de 1968,,Mediocampista,76,,,1,1,0,0
5147,https://www.losmundialesdefutbol.com/jugadores/bum_young_lee.php,Bum-Young Lee,,2 de abril de 1989,,Arquero,24,199,,1,0,0,0
5148,https://www.losmundialesdefutbol.com/jugadores/chang_myung_lee.php,Chang Myung Lee,,2 de enero de 1947,,Arquero,23,,,1,4,0,0
5149,https://www.losmundialesdefutbol.com/jugadores/dong_gook_lee.php,Dong Gook Lee,,29 de abril de 1979,,Delantero,24,185,,2,3,0,0
5150,https://www.losmundialesdefutbol.com/jugadores/francis_lee.php,Francis Lee,,29 de abril de 1944,,Delantero,49,,,1,3,0,0
5151,https://www.losmundialesdefutbol.com/jugadores/heung_sil_lee.php,Heung Sil Lee,,10 de julio de 1961,,Mediocampista,24,,,1,1,0,0
5152,https://www.losmundialesdefutbol.com/jugadores/ho_lee.php,Ho Lee,,22 de octubre de 1984,,Mediocampista,24,182,,1,3,0,0
5153,https://www.losmundialesdefutbol.com/jugadores/jae_sung_lee.php,Jae-sung Lee,Lee Jae-sung,10 de agosto de 1992,,Mediocampista,24,180,,2,6,0,0
5154,https://www.losmundialesdefutbol.com/jugadores/jong_uwa_lee.php,Jong Uwa Lee,,20 de julio de 1963,,Defensor,24,,,1,0,0,0
5155,https://www.losmundialesdefutbol.com/jugadores/kang_in_lee.php,Kang-in Lee,Lee Kang-in,19 de febrero de 2001,,Mediocampista,24,173,,1,4,0,0
5156,https://www.losmundialesdefutbol.com/jugadores/keun_hak_lee.php,Keun Hak Lee,,7 de julio de 1940,,Arquero,23,,,1,0,0,0
5157,https://www.losmundialesdefutbol.com/jugadores/lim_saeng_lee.php,Lim Saeng Lee,,18 de noviembre de 1971,,Defensor,24,182,,1,1,0,0
5158,https://www.losmundialesdefutbol.com/jugadores/min_sung_lee.php,Min Sung Lee,,23 de junio de 1973,,Defensor,24,183,,2,5,0,0
5159,https://www.losmundialesdefutbol.com/jugadores/robert_lee.php,Robert Lee,,1 de febrero de 1966,,Mediocampista,49,,,1,1,0,0
5160,https://www.losmundialesdefutbol.com/jugadores/sang_hun_lee.php,Sang Hun Lee,,11 de octubre de 1975,,Defensor,24,184,,1,1,0,0
5161,https://www.losmundialesdefutbol.com/jugadores/sang_yi_lee.php,Sang Yi Lee,,1 de enero de 1922,,Mediocampista,24,,,1,0,0,0
5162,https://www.losmundialesdefutbol.com/jugadores/sang_yoon_lee.php,Sang Yoon Lee,,10 de abril de 1969,,Mediocampista,24,179,,2,2,0,0
5163,https://www.losmundialesdefutbol.com/jugadores/seung_yeoul_lee.php,Seung Yeoul Lee,,6 de marzo de 1989,,Delantero,24,183,,1,1,0,0
5164,https://www.losmundialesdefutbol.com/jugadores/seung_woo_lee.php,Seung-woo Lee,Seung-woo Lee,6 de enero de 1998,,Mediocampista,24,170,,1,2,0,0
