id_mundial,id_seleccion,posicion,etapa,pts,pj,pg,pe,pp,gf,gc,dif
12,38,12,Grupos 2da Ronda,4,5,1,2,2,4,5,-1
12,6,13,Grupos 1ra Ronda,4,3,2,0,1,5,5,0
12,46,14,Grupos 1ra Ronda,3,3,1,1,1,12,6,6
12,35,15,Grupos 1ra Ronda,3,3,1,1,1,8,8,0
12,91,16,Grupos 1ra Ronda,3,3,1,1,1,2,2,0
12,16,17,Grupos 1ra Ronda,3,3,0,3,0,1,1,0
12,45,18,Grupos 1ra Ronda,2,3,0,2,1,2,3,-1
12,19,19,Grupos 1ra Ronda,2,3,0,2,1,2,4,-2
12,69,20,Grupos 1ra Ronda,2,3,0,2,1,2,6,-4
12,60,21,Grupos 1ra Ronda,1,3,0,1,2,2,6,-4
12,20,22,Grupos 1ra Ronda,0,3,0,0,3,3,8,-5
12,65,23,Grupos 1ra Ronda,0,3,0,0,3,2,12,-10
12,33,24,Grupos 1ra Ronda,0,3,0,0,3,1,13,-12
11,7,1,Final,11,7,5,1,1,15,4,11
11,66,2,Final,8,7,3,2,2,15,10,5
11,12,3,Partido 3er Puesto,11,7,4,3,0,10,3,7
11,56,4,Partido 3er Puesto,9,7,4,1,2,9,6,3
11,70,5,Grupos 2da Ronda,7,6,3,1,2,6,6,0
11,2,6,Grupos 2da Ronda,6,6,1,4,1,10,5,5
11,9,7,Grupos 2da Ronda,6,6,3,0,3,7,10,-3
11,69,8,Grupos 2da Ronda,5,6,2,1,3,7,12,-5
11,86,9,Grupos 1ra Ronda,3,3,1,1,1,3,2,1
11,38,10,Grupos 1ra Ronda,3,3,1,1,1,2,2,0
11,35,11,Grupos 1ra Ronda,3,3,1,1,1,5,6,-1
11,40,12,Grupos 1ra Ronda,2,3,1,0,2,5,5,0
11,81,13,Grupos 1ra Ronda,1,3,0,1,2,1,3,-2
11,53,14,Grupos 1ra Ronda,1,3,0,1,2,2,8,-6
11,46,15,Grupos 1ra Ronda,0,3,0,0,3,3,8,-5
11,62,16,Grupos 1ra Ronda,0,3,0,0,3,2,12,-10
10,2,1,Final,12,7,6,0,1,13,4,9
10,66,2,Final,11,7,5,1,1,15,3,12
10,70,3,Partido 3er Puesto,12,7,6,0,1,16,5,11
10,12,4,Partido 3er Puesto,8,7,3,2,2,6,4,2
10,81,5,Grupos 2da Ronda,6,6,2,2,2,7,6,1
10,3,6,Grupos 2da Ronda,6,6,2,2,2,5,5,0
10,91,7,Grupos 2da Ronda,4,6,1,2,3,12,7,5
10,7,8,Grupos 2da Ronda,4,6,1,2,3,9,12,-3
10,35,9,Grupos 1ra Ronda,4,3,1,2,0,3,1,2
10,56,10,Grupos 1ra Ronda,3,3,1,1,1,5,4,1
10,20,11,Grupos 1ra Ronda,2,3,0,2,1,1,2,-1
10,13,12,Grupos 1ra Ronda,2,3,0,2,1,2,5,-3
10,89,13,Grupos 1ra Ronda,1,3,0,1,2,1,6,-5
10,8,14,Grupos 1ra Ronda,1,3,0,1,2,0,5,-5
10,44,15,Grupos 1ra Ronda,0,3,0,0,3,2,14,-12
10,92,16,Grupos 1ra Ronda,0,3,0,0,3,0,14,-14
9,12,1,Final,12,6,6,0,0,19,7,12
9,56,2,Final,8,6,3,2,1,10,8,2
9,2,3,Partido 3er Puesto,10,6,5,0,1,17,10,7
9,89,4,Partido 3er Puesto,5,6,2,1,3,4,5,-1
9,87,5,Cuartos de Final,5,4,2,1,1,6,2,4
9,62,6,Cuartos de Final,5,4,2,1,1,6,4,2
9,69,7,Cuartos de Final,4,4,2,0,2,9,9,0
9,49,8,Cuartos de Final,4,4,2,0,2,4,4,0
9,81,9,Grupos 1ra Ronda,3,3,1,1,1,2,2,0
9,14,10,Grupos 1ra Ronda,2,3,1,0,2,4,5,-1
