url_original,id_partido
1998_alemania_croacia.php,444
1998_holanda_argentina.php,445
1998_brasil_holanda.php,446
1998_francia_croacia.php,447
1998_holanda_croacia.php,448
1998_brasil_francia.php,449
1994_alemania_bolivia.php,450
1994_espana_corea_del_sur.php,451
1994_estados_unidos_suiza.php,452
1994_italia_irlanda.php,453
1994_colombia_rumania.php,454
1994_belgica_marruecos.php,455
1994_noruega_mexico.php,456
1994_camerun_suecia.php,457
1994_brasil_rusia.php,458
1994_holanda_arabia_saudita.php,459
1994_argentina_grecia.php,460
1994_alemania_espana.php,461
1994_nigeria_bulgaria.php,462
1994_rumania_suiza.php,463
1994_estados_unidos_colombia.php,464
1994_italia_noruega.php,465
1994_corea_del_sur_bolivia.php,466
1994_mexico_irlanda.php,467
1994_brasil_camerun.php,468
1994_suecia_rusia.php,469
1994_belgica_holanda.php,470
1994_arabia_saudita_marruecos.php,471
1994_argentina_nigeria.php,472
1994_bulgaria_grecia.php,473
1994_estados_unidos_rumania.php,474
1994_suiza_colombia.php,475
1994_bolivia_espana.php,476
1994_alemania_corea_del_sur.php,477
1994_irlanda_noruega.php,478
1994_italia_mexico.php,479
1994_rusia_camerun.php,480
1994_brasil_suecia.php,481
1994_marruecos_holanda.php,482
1994_belgica_arabia_saudita.php,483
1994_grecia_nigeria.php,484
1994_argentina_bulgaria.php,485
1994_alemania_belgica.php,486
1994_espana_suiza.php,487
1994_arabia_saudita_suecia.php,488
1994_rumania_argentina.php,489
1994_holanda_irlanda.php,490
1994_brasil_estados_unidos.php,491
1994_nigeria_italia.php,492
1994_mexico_bulgaria.php,493
1994_italia_espana.php,494
1994_holanda_brasil.php,495
1994_bulgaria_alemania.php,496
1994_rumania_suecia.php,497
1994_bulgaria_italia.php,498
1994_suecia_brasil.php,499
1994_suecia_bulgaria.php,500
1994_brasil_italia.php,501
1990_argentina_camerun.php,502
1990_urss_rumania.php,503
1990_italia_austria.php,504
1990_emiratos_arabes_colombia.php,505
1990_estados_unidos_checoslovaquia.php,506
1990_brasil_suecia.php,507
1990_alemania_occidental_yugoslavia.php,508
1990_costa_rica_escocia.php,509
1990_inglaterra_irlanda.php,510
1990_belgica_corea_del_sur.php,511
1990_holanda_egipto.php,512
1990_uruguay_espana.php,513
1990_argentina_urss.php,514
1990_yugoslavia_colombia.php,515
1990_italia_estados_unidos.php,516
1990_camerun_rumania.php,517
1990_austria_checoslovaquia.php,518
1990_alemania_occidental_emiratos_arabes.php,519
1990_brasil_costa_rica.php,520
1990_suecia_escocia.php,521
1990_inglaterra_holanda.php,522
1990_irlanda_egipto.php,523
1990_belgica_uruguay.php,524
1990_corea_del_sur_espana.php,525
1990_argentina_rumania.php,526
1990_camerun_urss.php,527
1990_alemania_occidental_colombia.php,528
1990_yugoslavia_emiratos_arabes.php,529
1990_italia_checoslovaquia.php,530
1990_austria_estados_unidos.php,531
1990_brasil_escocia.php,532
1990_suecia_costa_rica.php,533
1990_belgica_espana.php,534
1990_corea_del_sur_uruguay.php,535
1990_inglaterra_egipto.php,536
1990_irlanda_holanda.php,537
1990_camerun_colombia.php,538
1990_checoslovaquia_costa_rica.php,539
1990_brasil_argentina.php,540
1990_alemania_occidental_holanda.php,541
1990_irlanda_rumania.php,542
1990_italia_uruguay.php,543
1990_espana_yugoslavia.php,544
1990_inglaterra_belgica.php,545
1990_argentina_yugoslavia.php,546
1990_italia_irlanda.php,547
1990_alemania_occidental_checoslovaquia.php,548
1990_camerun_inglaterra.php,549
1990_italia_argentina.php,550
1990_inglaterra_alemania_occidental.php,551
1990_italia_inglaterra.php,552
1990_argentina_alemania_occidental.php,553
1986_bulgaria_italia.php,554
1986_espana_brasil.php,555
1986_canada_francia.php,556
1986_argentina_corea_del_sur.php,557
1986_urss_hungria.php,558
1986_marruecos_polonia.php,559
1986_belgica_mexico.php,560
1986_portugal_inglaterra.php,561
1986_argelia_irlanda_del_norte.php,562
1986_escocia_dinamarca.php,563
1986_uruguay_alemania_occidental.php,564
1986_paraguay_iraq.php,565
1986_francia_urss.php,566
1986_corea_del_sur_bulgaria.php,567
1986_italia_argentina.php,568
1986_hungria_canada.php,569
1986_brasil_argelia.php,570
1986_inglaterra_marruecos.php,571
1986_mexico_paraguay.php,572
1986_polonia_portugal.php,573
1986_irlanda_del_norte_espana.php,574
1986_iraq_belgica.php,575
1986_alemania_occidental_escocia.php,576
1986_dinamarca_uruguay.php,577
1986_urss_canada.php,578
1986_hungria_francia.php,579
1986_corea_del_sur_italia.php,580
1986_argentina_bulgaria.php,581
1986_paraguay_belgica.php,582
1986_inglaterra_polonia.php,583
1986_portugal_marruecos.php,584
1986_iraq_mexico.php,585
1986_irlanda_del_norte_brasil.php,586
1986_argelia_espana.php,587
1986_dinamarca_alemania_occidental.php,588
1986_escocia_uruguay.php,589
1986_urss_belgica.php,590
1986_mexico_bulgaria.php,591
1986_brasil_polonia.php,592
1986_argentina_uruguay.php,593
1986_marruecos_alemania_occidental.php,594
1986_italia_francia.php,595
1986_dinamarca_espana.php,596
1986_inglaterra_paraguay.php,597
1986_mexico_alemania_occidental.php,598
1986_brasil_francia.php,599
1986_belgica_espana.php,600
1986_argentina_inglaterra.php,601
1986_argentina_belgica.php,602
1986_alemania_occidental_francia.php,603
1986_belgica_francia.php,604
1986_argentina_alemania_occidental.php,605
1982_argentina_belgica.php,606
1982_brasil_urss.php,607
1982_italia_polonia.php,608
1982_peru_camerun.php,609
1982_escocia_nueva_zelanda.php,610
1982_hungria_el_salvador.php,611
1982_alemania_occidental_argelia.php,612
1982_espana_honduras.php,613
1982_inglaterra_francia.php,614
1982_checoslovaquia_kuwait.php,615
1982_yugoslavia_irlanda_del_norte.php,616
1982_chile_austria.php,617
1982_argentina_hungria.php,618
1982_italia_peru.php,619
1982_brasil_escocia.php,620
1982_polonia_camerun.php,621
1982_belgica_el_salvador.php,622
1982_urss_nueva_zelanda.php,623
1982_espana_yugoslavia.php,624
1982_inglaterra_checoslovaquia.php,625
1982_alemania_occidental_chile.php,626
1982_honduras_irlanda_del_norte.php,627
1982_francia_kuwait.php,628
1982_argelia_austria.php,629
1982_urss_escocia.php,630
1982_belgica_hungria.php,631
1982_polonia_peru.php,632
1982_italia_camerun.php,633
1982_argentina_el_salvador.php,634
1982_brasil_nueva_zelanda.php,635
1982_honduras_yugoslavia.php,636
1982_francia_checoslovaquia.php,637
1982_argelia_chile.php,638
1982_irlanda_del_norte_espana.php,639
1982_alemania_occidental_austria.php,640
1982_inglaterra_kuwait.php,641
1982_austria_francia.php,642
1982_polonia_belgica.php,643
1982_alemania_occidental_inglaterra.php,644
1982_italia_argentina.php,645
1982_belgica_urss.php,646
1982_austria_irlanda_del_norte.php,647
1982_argentina_brasil.php,648
1982_alemania_occidental_espana.php,649
1982_francia_irlanda_del_norte.php,650
1982_polonia_urss.php,651
1982_italia_brasil.php,652
1982_espana_inglaterra.php,653
1982_alemania_occidental_francia.php,654
1982_polonia_italia.php,655
1982_polonia_francia.php,656
1982_italia_alemania_occidental.php,657
1978_alemania_occidental_polonia.php,658
1978_tunez_mexico.php,659
1978_italia_francia.php,660
1978_argentina_hungria.php,661
1978_holanda_iran.php,662
1978_austria_espana.php,663
1978_peru_escocia.php,664
1978_suecia_brasil.php,665
1978_alemania_occidental_mexico.php,666
1978_argentina_francia.php,667
1978_polonia_tunez.php,668
1978_italia_hungria.php,669
1978_holanda_peru.php,670
1978_brasil_espana.php,671
1978_escocia_iran.php,672
1978_austria_suecia.php,673
1978_italia_argentina.php,674
1978_alemania_occidental_tunez.php,675
1978_francia_hungria.php,676
1978_polonia_mexico.php,677
1978_peru_iran.php,678
1978_espana_suecia.php,679
1978_escocia_holanda.php,680
1978_brasil_austria.php,681
1978_holanda_austria.php,682
1978_alemania_occidental_italia.php,683
1978_brasil_peru.php,684
1978_argentina_polonia.php,685
1978_argentina_brasil.php,686
1978_polonia_peru.php,687
1978_alemania_occidental_holanda.php,688
1978_italia_austria.php,689
1978_argentina_peru.php,690
1978_holanda_italia.php,691
1978_brasil_polonia.php,692
1978_austria_alemania_occidental.php,693
1978_brasil_italia.php,694
1978_argentina_holanda.php,695
1974_brasil_yugoslavia.php,696
1974_alemania_occidental_chile.php,697
1974_alemania_oriental_australia.php,698
1974_zaire_escocia.php,699
1974_suecia_bulgaria.php,700
1974_polonia_argentina.php,701
1974_italia_haiti.php,702
1974_uruguay_holanda.php,703
1974_escocia_brasil.php,704
1974_australia_alemania_occidental.php,705
1974_yugoslavia_zaire.php,706
1974_chile_alemania_oriental.php,707
1974_holanda_suecia.php,708
1974_argentina_italia.php,709
1974_haiti_polonia.php,710
1974_bulgaria_uruguay.php,711
1974_zaire_brasil.php,712
1974_alemania_oriental_alemania_occidental.php,713
1974_australia_chile.php,714
1974_escocia_yugoslavia.php,715
1974_polonia_italia.php,716
1974_argentina_haiti.php,717
1974_bulgaria_holanda.php,718
1974_suecia_uruguay.php,719
1974_suecia_polonia.php,720
1974_yugoslavia_alemania_occidental.php,721
1974_holanda_argentina.php,722
1974_brasil_alemania_oriental.php,723
1974_alemania_oriental_holanda.php,724
1974_argentina_brasil.php,725
1974_polonia_yugoslavia.php,726
1974_alemania_occidental_suecia.php,727
1974_suecia_yugoslavia.php,728
1974_argentina_alemania_oriental.php,729
1974_polonia_alemania_occidental.php,730
1974_holanda_brasil.php,731
1974_brasil_polonia.php,732
1974_holanda_alemania_occidental.php,733
1970_mexico_urss.php,734
1970_inglaterra_rumania.php,735
1970_uruguay_israel.php,736
1970_peru_bulgaria.php,737
1970_italia_suecia.php,738
1970_alemania_occidental_marruecos.php,739
1970_belgica_el_salvador.php,740
1970_brasil_checoslovaquia.php,741
1970_peru_marruecos.php,742
1970_rumania_checoslovaquia.php,743
1970_urss_belgica.php,744
1970_uruguay_italia.php,745
1970_suecia_israel.php,746
1970_mexico_el_salvador.php,747
1970_alemania_occidental_bulgaria.php,748
1970_brasil_inglaterra.php,749
1970_urss_el_salvador.php,750
1970_suecia_uruguay.php,751
1970_alemania_occidental_peru.php,752
1970_brasil_rumania.php,753
1970_bulgaria_marruecos.php,754
1970_inglaterra_checoslovaquia.php,755
1970_mexico_belgica.php,756
1970_italia_israel.php,757
1970_alemania_occidental_inglaterra.php,758
1970_italia_mexico.php,759
1970_uruguay_urss.php,760
1970_brasil_peru.php,761
1970_uruguay_brasil.php,762
1970_italia_alemania_occidental.php,763
1970_uruguay_alemania_occidental.php,764
1970_brasil_italia.php,765
1966_inglaterra_uruguay.php,766
1966_alemania_occidental_suiza.php,767
1966_urss_corea_del_norte.php,768
1966_brasil_bulgaria.php,769
1966_francia_mexico.php,770
1966_italia_chile.php,771
1966_portugal_hungria.php,772
1966_argentina_espana.php,773
1966_uruguay_francia.php,774
1966_hungria_brasil.php,775
1966_espana_suiza.php,776
1966_corea_del_norte_chile.php,777
1966_portugal_bulgaria.php,778
1966_alemania_occidental_argentina.php,779
1966_urss_italia.php,780
1966_inglaterra_mexico.php,781
1966_portugal_brasil.php,782
1966_uruguay_mexico.php,783
1966_argentina_suiza.php,784
1966_corea_del_norte_italia.php,785
1966_inglaterra_francia.php,786
1966_alemania_occidental_espana.php,787
1966_urss_chile.php,788
1966_hungria_bulgaria.php,789
1966_portugal_corea_del_norte.php,790
1966_inglaterra_argentina.php,791
1966_alemania_occidental_uruguay.php,792
1966_urss_hungria.php,793
1966_alemania_occidental_urss.php,794
1966_inglaterra_portugal.php,795
1966_portugal_urss.php,796
1966_inglaterra_alemania_occidental.php,797
1962_uruguay_colombia.php,798
1962_brasil_mexico.php,799
1962_chile_suiza.php,800
1962_argentina_bulgaria.php,801
1962_checoslovaquia_espana.php,802
1962_urss_yugoslavia.php,803
1962_hungria_inglaterra.php,804
1962_alemania_occidental_italia.php,805
1962_chile_italia.php,806
1962_brasil_checoslovaquia.php,807
1962_yugoslavia_uruguay.php,808
1962_inglaterra_argentina.php,809
1962_hungria_bulgaria.php,810
1962_urss_colombia.php,811
1962_espana_mexico.php,812
1962_alemania_occidental_suiza.php,813
1962_alemania_occidental_chile.php,814
1962_hungria_argentina.php,815
1962_urss_uruguay.php,816
1962_brasil_espana.php,817
1962_yugoslavia_colombia.php,818
1962_mexico_checoslovaquia.php,819
1962_italia_suiza.php,820
1962_inglaterra_bulgaria.php,821
1962_brasil_inglaterra.php,822
1962_checoslovaquia_hungria.php,823
1962_yugoslavia_alemania_occidental.php,824
1962_chile_urss.php,825
1962_yugoslavia_checoslovaquia.php,826
1962_chile_brasil.php,827
1962_chile_yugoslavia.php,828
1962_brasil_checoslovaquia_2.php,829
1958_hungria_gales.php,830
1958_irlanda_del_norte_checoslovaquia.php,831
1958_brasil_austria.php,832
1958_francia_paraguay.php,833
1958_argentina_alemania_occidental.php,834
1958_urss_inglaterra.php,835
1958_yugoslavia_escocia.php,836
1958_suecia_mexico.php,837
1958_yugoslavia_francia.php,838
1958_paraguay_escocia.php,839
1958_mexico_gales.php,840
1958_alemania_occidental_checoslovaquia.php,841
1958_urss_austria.php,842
1958_argentina_irlanda_del_norte.php,843
1958_brasil_inglaterra.php,844
1958_suecia_hungria.php,845
1958_francia_escocia.php,846
1958_suecia_gales.php,847
1958_alemania_occidental_irlanda_del_norte.php,848
1958_paraguay_yugoslavia.php,849
1958_brasil_urss.php,850
1958_inglaterra_austria.php,851
1958_hungria_mexico.php,852
1958_checoslovaquia_argentina.php,853
1958_irlanda_del_norte_checoslovaquia_2.php,854
1958_gales_hungria.php,855
1958_urss_inglaterra_2.php,856
1958_francia_irlanda_del_norte.php,857
