id_mundial,id_partido,id_jugador,id_seleccion,minuto,tipo_gol
9,761,333,69,70,normal
9,761,87,12,75,normal
9,762,1128,89,19,normal
9,762,1127,12,44,normal
9,762,87,12,76,normal
9,762,361,12,89,normal
14,508,26,2,28,normal
14,508,8,2,39,normal
14,508,843,91,55,normal
14,508,26,2,64,normal
14,508,357,2,70,normal
14,519,357,2,35,normal
14,519,8,2,37,normal
14,519,867,34,46,normal
14,519,26,2,47,normal
14,519,847,2,58,normal
14,519,357,2,75,normal
14,528,872,2,88,normal
14,528,881,22,90,normal
14,541,8,2,51,normal
14,541,839,2,82,normal
14,541,869,66,89,penal
14,548,26,2,25,penal
14,551,839,2,60,normal
14,551,150,49,80,normal
15,450,8,1,61,normal
15,461,793,38,14,normal
15,461,8,1,48,normal
15,477,8,1,12,normal
15,477,824,1,20,normal
15,477,8,1,37,normal
15,477,660,24,52,normal
15,477,700,24,63,normal
15,486,357,1,6,normal
15,486,811,14,8,normal
15,486,8,1,11,normal
15,486,357,1,40,normal
15,486,786,14,90,normal
15,496,26,1,47,penal
15,496,347,13,75,normal
15,496,796,13,78,normal
16,399,750,1,10,normal
16,399,8,1,67,normal
16,414,749,73,13,normal
16,414,768,73,52,normal
16,414,748,1,72,autogol
16,414,645,1,78,normal
16,428,645,1,50,normal
16,428,8,1,57,normal
16,438,173,62,47,normal
16,438,8,1,75,normal
16,438,645,1,86,normal
16,444,740,27,45,normal
16,444,772,27,80,normal
16,444,110,27,85,normal
21,66,395,76,12,normal
21,66,356,76,43,normal
21,66,368,76,71,normal
21,66,356,76,90,normal
21,66,397,76,90,normal
21,68,9,71,4,penal
21,68,367,38,24,normal
21,68,9,71,44,normal
21,68,367,38,55,normal
21,68,414,38,58,normal
21,68,9,71,88,normal
21,69,2390,53,90,autogol
21,71,435,30,59,normal
21,73,3501,27,32,autogol
21,73,11,27,71,penal
21,74,371,12,20,normal
21,74,436,82,50,normal
21,75,404,78,56,normal
21,76,408,62,35,normal
21,77,369,81,65,penal
21,79,25,49,11,normal
21,79,225,86,35,penal
21,79,25,49,90,normal
21,80,2852,77,37,autogol
21,80,206,77,60,normal
21,80,406,70,86,normal
21,81,403,58,6,penal
21,81,94,22,39,normal
21,81,415,58,73,normal
21,83,27,89,23,normal
