mundial,url_partido,seleccion,jugador,minuto,tipo_gol,fecha_scraping
1994,https://www.losmundialesdefutbol.com/partidos/1994_italia_mexico.php,México,Marcelino Bernal,57,normal,2026-03-17T00:04:59.497767
1994,https://www.losmundialesdefutbol.com/partidos/1994_rusia_camerun.php,Rusia,Oleg Salenko,15,normal,2026-03-17T00:05:02.666559
1994,https://www.losmundialesdefutbol.com/partidos/1994_rusia_camerun.php,Rusia,Oleg Salenko,41,normal,2026-03-17T00:05:02.666559
1994,https://www.losmundialesdefutbol.com/partidos/1994_rusia_camerun.php,Rusia,Oleg Salenko,44,penal,2026-03-17T00:05:02.666559
1994,https://www.losmundialesdefutbol.com/partidos/1994_rusia_camerun.php,Camerún,Roger Milla,46,normal,2026-03-17T00:05:02.666559
1994,https://www.losmundialesdefutbol.com/partidos/1994_rusia_camerun.php,Rusia,Oleg Salenko,72,normal,2026-03-17T00:05:02.666559
1994,https://www.losmundialesdefutbol.com/partidos/1994_rusia_camerun.php,Rusia,Oleg Salenko,75,normal,2026-03-17T00:05:02.666559
1994,https://www.losmundialesdefutbol.com/partidos/1994_rusia_camerun.php,Rusia,Dmitri Radchenko,81,normal,2026-03-17T00:05:02.666559
1994,https://www.losmundialesdefutbol.com/partidos/1994_marruecos_holanda.php,Paises Bajos,Dennis Bergkamp,43,normal,2026-03-17T00:05:07.994302
1994,https://www.losmundialesdefutbol.com/partidos/1994_marruecos_holanda.php,Marruecos,Hassan Nader,47,normal,2026-03-17T00:05:07.994302
1994,https://www.losmundialesdefutbol.com/partidos/1994_marruecos_holanda.php,Paises Bajos,Bryan Roy,77,normal,2026-03-17T00:05:07.994302
1994,https://www.losmundialesdefutbol.com/partidos/1994_belgica_arabia_saudita.php,Arabia Saudita,Said Al Owayran,5,normal,2026-03-17T00:05:11.780807
1994,https://www.losmundialesdefutbol.com/partidos/1994_grecia_nigeria.php,Nigeria,Finidi George,45,normal,2026-03-17T00:05:15.645157
1994,https://www.losmundialesdefutbol.com/partidos/1994_grecia_nigeria.php,Nigeria,Daniel Amokachi,90,normal,2026-03-17T00:05:15.645157
1994,https://www.losmundialesdefutbol.com/partidos/1994_argentina_bulgaria.php,Bulgaria,Hristo Stoichkov,61,normal,2026-03-17T00:05:17.939497
1994,https://www.losmundialesdefutbol.com/partidos/1994_argentina_bulgaria.php,Bulgaria,Nasko Sirakov,90,normal,2026-03-17T00:05:17.939497
1994,https://www.losmundialesdefutbol.com/partidos/1994_espana_suiza.php,España,Fernando Hierro,15,normal,2026-03-17T00:05:23.775761
1994,https://www.losmundialesdefutbol.com/partidos/1994_espana_suiza.php,España,Luis Enrique,74,normal,2026-03-17T00:05:23.775761
1994,https://www.losmundialesdefutbol.com/partidos/1994_espana_suiza.php,España,Txiki Beguiristain,86,penal,2026-03-17T00:05:23.775761
1994,https://www.losmundialesdefutbol.com/partidos/1994_arabia_saudita_suecia.php,Suecia,Martin Dahlin,6,normal,2026-03-17T00:05:25.851479
1994,https://www.losmundialesdefutbol.com/partidos/1994_arabia_saudita_suecia.php,Suecia,Kennet Andersson,51,normal,2026-03-17T00:05:25.851479
1994,https://www.losmundialesdefutbol.com/partidos/1994_arabia_saudita_suecia.php,Arabia Saudita,Fahad Al Ghesheyan,85,normal,2026-03-17T00:05:25.851479
1994,https://www.losmundialesdefutbol.com/partidos/1994_arabia_saudita_suecia.php,Suecia,Kennet Andersson,88,normal,2026-03-17T00:05:25.851479
1994,https://www.losmundialesdefutbol.com/partidos/1994_rumania_argentina.php,Rumania,Ilie Dumitrescu,11,normal,2026-03-17T00:05:29.836865
1994,https://www.losmundialesdefutbol.com/partidos/1994_rumania_argentina.php,Argentina,Gabriel Batistuta,16,penal,2026-03-17T00:05:29.836865
1994,https://www.losmundialesdefutbol.com/partidos/1994_rumania_argentina.php,Rumania,Ilie Dumitrescu,18,normal,2026-03-17T00:05:29.836865
